country,population,total_cases,total_deaths,infection_rate_pct,mortality_rate_pct,vaccination_rate_pct,peak_beta,gamma,R0,continent
Italy,60000000,35713000,130468,59.52,0.37,42.0,0.362,0.174,2.08,Europe
USA,332000000,103436829,1127152,31.16,1.09,31.0,0.47,0.132,3.56,North America
Germany,83000000,38249060,174979,46.08,0.46,46.0,0.297,0.079,3.76,Europe
Brazil,213000000,37519960,702116,17.62,1.87,18.0,0.267,0.164,1.63,South America
India,1380000000,44690077,530779,3.24,1.19,3.0,0.43,0.145,2.97,Asia
UK,67000000,24607218,232112,36.73,0.94,37.0,0.256,0.176,1.45,Europe
France,67000000,38997490,167985,58.21,0.43,58.0,0.5,0.085,5.88,Europe
Spain,47000000,13851043,120028,29.47,0.87,29.0,0.305,0.082,3.72,Europe
Kazakhstan,19000000,1535071,18493,8.08,1.2,8.0,0.341,0.123,2.77,Asia
Russia,144000000,22072306,393552,15.33,1.78,15.0,0.38,0.095,4.0,Europe
Japan,126000000,33803572,74694,26.83,0.22,27.0,0.434,0.077,5.64,Asia
South Korea,52000000,32383583,35934,62.28,0.11,62.0,0.338,0.104,3.25,Asia
Canada,38000000,4640947,51448,12.21,1.11,12.0,0.387,0.154,2.51,North America
Mexico,128000000,7633355,334336,5.96,4.38,6.0,0.31,0.122,2.54,North America
Australia,26000000,11360769,22266,43.7,0.2,44.0,0.428,0.066,6.48,Oceania
